 aSCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
94,DC:A6:32:55:FC:3E,2020-07-16 22:24:26.279027,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-42
95,DC:A6:32:55:FC:3E,2020-07-16 22:24:27.218977,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
96,DC:A6:32:55:FC:3E,2020-07-16 22:24:28.175245,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
97,DC:A6:32:55:FC:3E,2020-07-16 22:24:29.042998,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
98,DC:A6:32:55:FC:3E,2020-07-16 22:24:30.052267,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
99,DC:A6:32:55:FC:3E,2020-07-16 22:24:31.039111,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
100,DC:A6:32:55:FC:3E,2020-07-16 22:24:32.477929,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
101,DC:A6:32:55:FC:3E,2020-07-16 22:24:33.234133,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
102,DC:A6:32:55:FC:3E,2020-07-16 22:24:34.239271,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-42
103,DC:A6:32:55:FC:3E,2020-07-16 22:24:35.067985,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-49
104,DC:A6:32:55:FC:3E,2020-07-16 22:24:36.251726,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
105,DC:A6:32:55:FC:3E,2020-07-16 22:24:37.091706,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
106,DC:A6:32:55:FC:3E,2020-07-16 22:24:38.079310,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
107,DC:A6:32:55:FC:3E,2020-07-16 22:24:39.379508,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
108,DC:A6:32:55:FC:3E,2020-07-16 22:24:40.004425,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
109,DC:A6:32:55:FC:3E,2020-07-16 22:24:41.513193,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
110,DC:A6:32:55:FC:3E,2020-07-16 22:24:42.059377,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
111,DC:A6:32:55:FC:3E,2020-07-16 22:24:43.022452,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
112,DC:A6:32:55:FC:3E,2020-07-16 22:24:44.275677,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
113,DC:A6:32:55:FC:3E,2020-07-16 22:24:45.038209,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
114,DC:A6:32:55:FC:3E,2020-07-16 22:24:46.140763,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
115,DC:A6:32:55:FC:3E,2020-07-16 22:24:47.240745,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
116,DC:A6:32:55:FC:3E,2020-07-16 22:24:48.113254,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
117,DC:A6:32:55:FC:3E,2020-07-16 22:24:49.183496,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
