SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
104,98:04:ED:C0:E4:41,2020-07-17 07:29:39.100631,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
105,DC:A6:32:55:FC:3E,2020-07-17 07:29:40.238345,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
106,98:04:ED:C0:E4:41,2020-07-17 07:29:40.238345,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
107,98:04:ED:C0:E4:41,2020-07-17 07:29:41.064518,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
108,DC:A6:32:55:FC:3E,2020-07-17 07:29:41.064518,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
109,DC:A6:32:55:FC:3E,2020-07-17 07:29:42.014443,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
110,DC:A6:32:55:FC:3E,2020-07-17 07:29:43.334504,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
111,98:04:ED:C0:E4:41,2020-07-17 07:29:43.334504,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
112,DC:A6:32:55:FC:3E,2020-07-17 07:29:44.008814,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
113,98:04:ED:C0:E4:41,2020-07-17 07:29:44.008814,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
114,DC:A6:32:55:FC:3E,2020-07-17 07:29:45.664537,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
115,DC:A6:32:55:FC:3E,2020-07-17 07:29:46.054484,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
116,98:04:ED:C0:E4:41,2020-07-17 07:29:46.054484,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
117,DC:A6:32:55:FC:3E,2020-07-17 07:29:47.024619,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
118,DC:A6:32:55:FC:3E,2020-07-17 07:29:48.382066,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
119,DC:A6:32:55:FC:3E,2020-07-17 07:29:49.260900,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
120,98:04:ED:C0:E4:41,2020-07-17 07:29:49.260900,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
121,DC:A6:32:55:FC:3E,2020-07-17 07:29:50.013432,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
122,98:04:ED:C0:E4:41,2020-07-17 07:29:50.013432,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
123,DC:A6:32:55:FC:3E,2020-07-17 07:29:52.018560,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
124,98:04:ED:C0:E4:41,2020-07-17 07:29:52.018560,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
125,98:04:ED:C0:E4:41,2020-07-17 07:29:53.252303,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
126,DC:A6:32:55:FC:3E,2020-07-17 07:29:53.252303,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
127,98:04:ED:C0:E4:41,2020-07-17 07:29:54.414741,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
128,DC:A6:32:55:FC:3E,2020-07-17 07:29:54.414741,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
129,DC:A6:32:55:FC:3E,2020-07-17 07:29:55.004735,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
130,98:04:ED:C0:E4:41,2020-07-17 07:29:55.004735,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
131,98:04:ED:C0:E4:41,2020-07-17 07:29:56.100981,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
132,DC:A6:32:55:FC:3E,2020-07-17 07:29:56.100981,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
133,DC:A6:32:55:FC:3E,2020-07-17 07:29:57.084196,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
134,98:04:ED:C0:E4:41,2020-07-17 07:29:57.084196,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
135,DC:A6:32:55:FC:3E,2020-07-17 07:29:58.152339,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
136,98:04:ED:C0:E4:41,2020-07-17 07:29:58.152339,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
137,DC:A6:32:55:FC:3E,2020-07-17 07:30:00.139892,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
138,DC:A6:32:55:FC:3E,2020-07-17 07:30:01.108633,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
139,98:04:ED:C0:E4:41,2020-07-17 07:30:01.108633,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
140,DC:A6:32:55:FC:3E,2020-07-17 07:30:02.537477,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
141,98:04:ED:C0:E4:41,2020-07-17 07:30:02.537477,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
142,DC:A6:32:55:FC:3E,2020-07-17 07:30:03.012369,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
143,98:04:ED:C0:E4:41,2020-07-17 07:30:03.012369,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
144,DC:A6:32:55:FC:3E,2020-07-17 07:30:04.003690,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
145,98:04:ED:C0:E4:41,2020-07-17 07:30:04.003690,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
146,DC:A6:32:55:FC:3E,2020-07-17 07:30:05.104965,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
147,DC:A6:32:55:FC:3E,2020-07-17 07:30:06.053711,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
148,98:04:ED:C0:E4:41,2020-07-17 07:30:06.053711,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
149,98:04:ED:C0:E4:41,2020-07-17 07:30:07.098838,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
150,DC:A6:32:55:FC:3E,2020-07-17 07:30:07.098838,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
151,DC:A6:32:55:FC:3E,2020-07-17 07:30:08.198813,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
152,98:04:ED:C0:E4:41,2020-07-17 07:30:08.198813,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
153,DC:A6:32:55:FC:3E,2020-07-17 07:30:09.862602,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
154,98:04:ED:C0:E4:41,2020-07-17 07:30:10.003780,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
155,DC:A6:32:55:FC:3E,2020-07-17 07:30:10.003780,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-71
156,DC:A6:32:55:FC:3E,2020-07-17 07:30:11.387581,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
157,98:04:ED:C0:E4:41,2020-07-17 07:30:11.387581,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
158,DC:A6:32:55:FC:3E,2020-07-17 07:30:12.045093,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
159,98:04:ED:C0:E4:41,2020-07-17 07:30:12.045093,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
160,DC:A6:32:55:FC:3E,2020-07-17 07:30:13.026414,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
161,98:04:ED:C0:E4:41,2020-07-17 07:30:13.026414,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
162,DC:A6:32:55:FC:3E,2020-07-17 07:30:14.090216,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
